MQ_rankings:
       gene  traj       <Q>  MisfoldingProp  num_frames  num_misfolded_frames  Folded
375  P60546    26  0.864939        1.000000       26667                 26667    True
299  P0AA25    47  0.857698        0.999850       26667                 26663    True
418  P0AA25    49  0.856828        1.000000       26667                 26667    True
331  P0AA25    16  0.847401        1.000000       26667                 26667    True
417  P0AA25    48  0.845357        1.000000       26667                 26667    True
373  P60546    20  0.844789        1.000000       26667                 26667    True
335  P0AA25     1  0.843521        1.000000       26667                 26667    True
364  P0AA25    26  0.843173        1.000000       26667                 26667    True
366  P0AA25    11  0.837531        1.000000       26667                 26667    True
362  P0AA25    21  0.836739        1.000000       26667                 26667    True
328  P0A7J3    20  0.834307        1.000000       26667                 26667    True
315  P0AA25    43  0.833801        1.000000       26667                 26667    True
410  P65556    11  0.829135        1.000000       26667                 26667    True
354  P0A790    46  0.824648        1.000000       26667                 26667    True
404  P0A790     8  0.823869        1.000000       26667                 26667    True
419  P0AA25    31  0.823805        1.000000       26667                 26667    True
409  P0A790     2  0.823730        1.000000       26667                 26667    True
399  P0A790    18  0.823528        1.000000       26667                 26667    True
393  P0A790    12  0.821931        1.000000       26667                 26667    True
390  P0A790    25  0.820628        1.000000       26667                 26667    True
392  P0A790    11  0.820427        1.000000       26667                 26667    True
416  P0AA25    45  0.819713        1.000000       26667                 26667    True
357  P0A790    49  0.819450        1.000000       26667                 26667    True
370  P0A790    40  0.818494        1.000000       26667                 26667    True
402  P0A790     5  0.817918        1.000000       26667                 26667    True
401  P0A790     4  0.817849        1.000000       26667                 26667    True
307  P60546    41  0.817339        1.000000       26667                 26667    True
369  P0A790    39  0.817116        1.000000       26667                 26667    True
408  P0A790     1  0.816836        1.000000       26667                 26667    True
314  P0AA25    42  0.816565        1.000000       26667                 26667    True
318  P0AA25     8  0.816406        1.000000       26667                 26667    True
406  P0A790    10  0.816289        1.000000       26667                 26667    True
391  P0A790    26  0.816058        1.000000       26667                 26667    True
383  P0A790    34  0.813427        1.000000       26667                 26667    True
381  P0A790    32  0.813363        1.000000       26667                 26667    True
368  P0A790    38  0.813176        1.000000       26667                 26667    True
359  P0A790    35  0.813036        1.000000       26667                 26667    True
372  P0A790    42  0.812911        1.000000       26667                 26667    True
387  P0A790    22  0.812545        1.000000       26667                 26667    True
374  P60546    23  0.812301        1.000000       26667                 26667    True
361  P0AA25    17  0.811315        1.000000       26667                 26667    True
355  P0A790    47  0.810609        1.000000       26667                 26667    True
415  P60546    44  0.810290        1.000000       26667                 26667    True
397  P0A790    16  0.807958        1.000000       26667                 26667    True
295  P65556    35  0.807731        0.999663       26667                 26658    True
398  P0A790    17  0.804833        1.000000       26667                 26667    True
305  P60546    45  0.803902        1.000000       26667                 26667    True
302  P60546     3  0.802154        0.999925       26667                 26665    True
349  P0A7J3     9  0.800066        1.000000       26667                 26667    True
291  P65556     1  0.798787        0.998238       26667                 26620    True
306  P60546    38  0.798500        1.000000       26667                 26667    True
309  P0A6I0    46  0.790829        1.000000       26667                 26667    True
405  P0A790     9  0.787281        1.000000       26667                 26667    True
262  P0A6I0    20  0.787201        0.782803       26667                 20875    True
297  P60546    32  0.780257        0.999813       26667                 26662    True
376  P0A790    27  0.777877        1.000000       26667                 26667    True
377  P0A790    28  0.770651        1.000000       26667                 26667    True
386  P0A790    21  0.769738        1.000000       26667                 26667    True
365  P0AA25     9  0.768256        1.000000       26667                 26667    True
378  P0A790    29  0.767897        1.000000       26667                 26667    True
304  P60546    15  0.765434        0.999963       26667                 26666    True
330  P0A7J3    26  0.760783        1.000000       26667                 26667    True
336  P60438    48  0.758725        1.000000       26667                 26667    True
339  P60438    44  0.755618        1.000000       26667                 26667    True
332  P60438    13  0.754883        1.000000       26667                 26667    True
311  P65556    30  0.752777        1.000000       26667                 26667    True
LossGain_fractions:
       gene  traj  num_frames  Loss   Gain  Total  LossOverlap  GainOverlap  Total_Overlap  pureLoss_frames  pureGain_frames  bothLossGain_frames  FracLoss  FracGain  FracOverlap  CondLossOverlap  CondGainOverlap  LossNoOverlap  GainNoOverlap  TotalNoOverlap  FracLossNoOverlap  FracGainNoOverlap
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/Quenching/P0A790_4CRZ_A_t9_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/setup/P0A790_4CRZ_A_rebuilt_clean_ca.psf
Frame -314 successfully saved to ./highQ_Misfoled_Candidates/P0A790_t9_f-314_Q0.942.pdb.
frame: 26353
frame_EntInfo:
            Time(ns)  Frame   i    j       gn   Gn  crossingsN       gc   Gc  crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
1012347  1976.550042  26353   6   36  0.00000  0.0         0.0 -0.03613 -0.0        69.0    NoChange  LossChiral  99.00000   0.97183               1               1    1
1012348  1976.550042  26353   7   35  0.00000  0.0         0.0 -0.02657 -0.0        69.0    NoChange  LossChiral  99.00000   0.96934               1               1    1
1012349  1976.550042  26353   7   36  0.00000  0.0         0.0 -0.01426 -0.0        69.0    NoChange  LossChiral  99.00000   0.95786               1               1    1
1012350  1976.550042  26353   7   37  0.00000  0.0         0.0  0.00061  0.0        69.0    NoChange  LossChiral  99.00000   0.93992               1               1    1
1012351  1976.550042  26353   8   35  0.00000  0.0         0.0 -0.03595 -0.0        69.0    NoChange  LossChiral  99.00000   0.97056               1               1    1
1012352  1976.550042  26353   9   31  0.00000  0.0         0.0  0.12859  0.0        69.0    NoChange  LossChiral  99.00000   0.86459               1               1    1
1012353  1976.550042  26353   9   35  0.00000  0.0         0.0 -0.00047 -0.0        69.0    NoChange  LossChiral  99.00000   1.01668               1               1    1
1012354  1976.550042  26353  34  105  0.19282  0.0        26.0 -0.08317 -0.0         0.0  LossChiral    NoChange   0.80663  99.00000               1               1    0
1012355  1976.550042  26353  34  116  0.16044  0.0        27.0  0.00000  0.0         0.0  LossChiral    NoChange   0.81316  99.00000               1               1    0
1012356  1976.550042  26353  35  103  0.18877  0.0        26.0 -0.06062 -0.0         0.0  LossChiral    NoChange   0.85699  99.00000               1               1    0
1012357  1976.550042  26353  35  104  0.12979  0.0        26.0 -0.11892 -0.0         0.0  LossChiral    NoChange   0.85202  99.00000               1               1    0
1012358  1976.550042  26353  35  105  0.17920  0.0        26.0 -0.02895 -0.0         0.0  LossChiral    NoChange   0.82861  99.00000               1               1    0
1012359  1976.550042  26353  36  103  0.08609  0.0        26.0 -0.06949 -0.0         0.0  LossChiral    NoChange   0.86126  99.00000               1               1    0
1012360  1976.550042  26353  37   88  0.09575  0.0        26.0  0.05215  0.0         0.0  LossChiral    NoChange   0.86340  99.00000               1               1    0
1012361  1976.550042  26353  42   88 -0.04904 -0.0        26.0  0.01502  0.0         0.0  LossChiral    NoChange   0.95570  99.00000               1               1    0
1012362  1976.550042  26353  43   86  0.01291  0.0        26.0  0.01490  0.0         0.0  LossChiral    NoChange   0.95195  99.00000               1               1    0
1012363  1976.550042  26353  43   87  0.03305  0.0        26.0  0.02681  0.0         0.0  LossChiral    NoChange   0.96514  99.00000               1               1    0
1012364  1976.550042  26353  43   88 -0.04149 -0.0        26.0  0.00738  0.0         0.0  LossChiral    NoChange   0.97944  99.00000               1               1    0
1012365  1976.550042  26353  44   86 -0.01914 -0.0        26.0 -0.00204 -0.0         0.0  LossChiral    NoChange   0.97640  99.00000               1               1    0
1012366  1976.550042  26353  44   87 -0.00077 -0.0        26.0  0.00973  0.0         0.0  LossChiral    NoChange   0.98714  99.00000               1               1    0
1012367  1976.550042  26353  44   88 -0.07856 -0.0        26.0 -0.00776 -0.0         0.0  LossChiral    NoChange   0.99924  99.00000               1               1    0
1012368  1976.550042  26353  45   84  0.00057  0.0        26.0  0.00770  0.0         0.0  LossChiral    NoChange   1.09801  99.00000               1               1    0
1012369  1976.550042  26353  45   85  0.03602  0.0        26.0  0.02210  0.0         0.0  LossChiral    NoChange   1.04764  99.00000               1               1    0
1012370  1976.550042  26353  45   86 -0.03080 -0.0        26.0 -0.00030 -0.0         0.0  LossChiral    NoChange   1.04046  99.00000               1               1    0
1012371  1976.550042  26353  45   87 -0.01581 -0.0        26.0  0.01072  0.0         0.0  LossChiral    NoChange   1.04826  99.00000               1               1    0
1012372  1976.550042  26353  46   84 -0.05195 -0.0        26.0 -0.00382 -0.0         0.0  LossChiral    NoChange   1.04436  99.00000               1               1    0
1012373  1976.550042  26353  46   85 -0.01739 -0.0        26.0  0.00776  0.0         0.0  LossChiral    NoChange   0.99370  99.00000               1               1    0
1012374  1976.550042  26353  46   86 -0.08332 -0.0        26.0 -0.01339 -0.0         0.0  LossChiral    NoChange   0.98536  99.00000               1               1    0
1012375  1976.550042  26353  47   78 -0.05637 -0.0        26.0  0.16105  0.0         0.0  LossChiral    NoChange   1.07490  99.00000               1               1    0
1012376  1976.550042  26353  47   82  0.01124  0.0        26.0  0.03143  0.0         0.0  LossChiral    NoChange   1.06211  99.00000               1               1    0
1012377  1976.550042  26353  47   83 -0.01415 -0.0        26.0  0.01104  0.0         0.0  LossChiral    NoChange   1.07194  99.00000               1               1    0
1012378  1976.550042  26353  47   84 -0.11440 -0.0        26.0 -0.00385 -0.0         0.0  LossChiral    NoChange   1.07226  99.00000               1               1    0
1012379  1976.550042  26353  47   85 -0.08431 -0.0        26.0  0.00673  0.0         0.0  LossChiral    NoChange   1.02234  99.00000               1               1    0
1012380  1976.550042  26353  48   82 -0.11113 -0.0        26.0  0.03105  0.0         0.0  LossChiral    NoChange   1.04017  99.00000               1               1    0
1012381  1976.550042  26353  48   83 -0.13684 -0.0        26.0  0.00737  0.0         0.0  LossChiral    NoChange   1.04977  99.00000               1               1    0
1012382  1976.550042  26353  48   84 -0.23712 -0.0        26.0 -0.00828 -0.0         0.0  LossChiral    NoChange   1.05025  99.00000               1               1    0
1012383  1976.550042  26353  48   85 -0.20683 -0.0        26.0  0.00026  0.0         0.0  LossChiral    NoChange   0.99963  99.00000               1               1    0
1012384  1976.550042  26353  49   82 -0.14621 -0.0        26.0  0.03263  0.0         0.0  LossChiral    NoChange   1.04389  99.00000               1               1    0
1012385  1976.550042  26353  49   83 -0.17537 -0.0        26.0  0.00947  0.0         0.0  LossChiral    NoChange   1.05308  99.00000               1               1    0
1012386  1976.550042  26353  50   78 -0.31027 -0.0        26.0  0.17933  0.0         0.0  LossChiral    NoChange   1.07622  99.00000               1               1    0
1012387  1976.550042  26353  50   82 -0.25381 -0.0        26.0  0.02694  0.0         0.0  LossChiral    NoChange   1.06047  99.00000               1               1    0
1012388  1976.550042  26353  52   77 -0.19918 -0.0        26.0  0.13640  0.0         0.0  LossChiral    NoChange   1.05786  99.00000               1               1    0
tag: P0A790_4CRZ_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P0A790_4CRZ_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P0A790_t9_f-314_Q0.942.pdb -p 1

####################################################################################################
LOSS P0A790 29
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P0A790_4CRZ_A/Q/P0A790_4CRZ_A_t29.Q
(2600,) 2025 0.9563106796116504 575 0.9563106796116504
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/Quenching/P0A790_4CRZ_A_t29_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/setup/P0A790_4CRZ_A_rebuilt_clean_ca.psf
Frame -575 successfully saved to ./highQ_Misfoled_Candidates/P0A790_t29_f-575_Q0.956.pdb.
frame: 26092
frame_EntInfo:
            Time(ns)  Frame   i    j       gn   Gn  crossingsN       gc   Gc crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
1014381  1956.975041  26092   6   35  0.00000  0.0         0.0 -0.03235 -0.0        +69    NoChange  LossChiral  99.00000   0.97606               1               1    1
1014382  1956.975041  26092   6   36  0.00000  0.0         0.0 -0.03985 -0.0        +69    NoChange  LossChiral  99.00000   0.97555               1               1    1
1014383  1956.975041  26092   7   35  0.00000  0.0         0.0 -0.02052 -0.0        +69    NoChange  LossChiral  99.00000   0.96329               1               1    1
1014384  1956.975041  26092   7   36  0.00000  0.0         0.0 -0.02037 -0.0        +69    NoChange  LossChiral  99.00000   0.96397               1               1    1
1014385  1956.975041  26092   7   37  0.00000  0.0         0.0  0.00222  0.0        +69    NoChange  LossChiral  99.00000   0.93831               1               1    1
1014386  1956.975041  26092   8   35  0.00000  0.0         0.0 -0.07385 -0.0        +69    NoChange  LossChiral  99.00000   1.00846               1               1    1
1014387  1956.975041  26092   9   31  0.00000  0.0         0.0  0.06764  0.0        +69    NoChange  LossChiral  99.00000   0.92554               1               1    1
1014388  1956.975041  26092   9   35  0.00000  0.0         0.0 -0.01755 -0.0        +69    NoChange  LossChiral  99.00000   1.03376               1               1    1
1014389  1956.975041  26092  34  103  0.17942  0.0        26.0 -0.01322 -0.0          0  LossChiral    NoChange   0.84913  99.00000               1               1    0
1014390  1956.975041  26092  34  104  0.13518  0.0        26.0 -0.08371 -0.0          0  LossChiral    NoChange   0.83441  99.00000               1               1    0
1014391  1956.975041  26092  34  105  0.17773  0.0        26.0 -0.02861 -0.0          0  LossChiral    NoChange   0.82172  99.00000               1               1    0
1014392  1956.975041  26092  34  116  0.13723  0.0        27.0  0.00000  0.0          0  LossChiral    NoChange   0.83637  99.00000               1               1    0
1014393  1956.975041  26092  35  103  0.13051  0.0        26.0  0.02333  0.0          0  LossChiral    NoChange   0.91525  99.00000               1               1    0
1014394  1956.975041  26092  35  104  0.08205  0.0        26.0 -0.04405 -0.0          0  LossChiral    NoChange   0.89976  99.00000               1               1    0
1014395  1956.975041  26092  35  105  0.12176  0.0        26.0  0.01331  0.0          0  LossChiral    NoChange   0.88605  99.00000               1               1    0
1014396  1956.975041  26092  36  103  0.04415  0.0        26.0  0.00545  0.0          0  LossChiral    NoChange   0.90320  99.00000               1               1    0
1014397  1956.975041  26092  37   88  0.08075  0.0        26.0  0.05018  0.0          0  LossChiral    NoChange   0.87840  99.00000               1               1    0
1014398  1956.975041  26092  42   88 -0.03600 -0.0        26.0  0.01290  0.0          0  LossChiral    NoChange   0.94266  99.00000               1               1    0
1014399  1956.975041  26092  43   86  0.00872  0.0        26.0 -0.00184 -0.0          0  LossChiral    NoChange   0.95614  99.00000               1               1    0
1014400  1956.975041  26092  43   87  0.05311  0.0        26.0  0.01886  0.0          0  LossChiral    NoChange   0.94508  99.00000               1               1    0
1014401  1956.975041  26092  43   88 -0.01137 -0.0        26.0  0.00238  0.0          0  LossChiral    NoChange   0.94932  99.00000               1               1    0
1014402  1956.975041  26092  43   89 -0.03671 -0.0        26.0  0.02039  0.0          0  LossChiral    NoChange   0.95146  99.00000               1               1    0
1014403  1956.975041  26092  44   86  0.01700  0.0        26.0 -0.02419 -0.0          0  LossChiral    NoChange   0.94026  99.00000               1               1    0
1014404  1956.975041  26092  44   87  0.05632  0.0        26.0 -0.00465 -0.0          0  LossChiral    NoChange   0.93005  99.00000               1               1    0
1014405  1956.975041  26092  44   88 -0.01255 -0.0        26.0 -0.01974 -0.0          0  LossChiral    NoChange   0.93323  99.00000               1               1    0
1014406  1956.975041  26092  45   84  0.08191  0.0        26.0 -0.00814 -0.0          0  LossChiral    NoChange   1.01667  99.00000               1               1    0
1014407  1956.975041  26092  45   85  0.07723  0.0        26.0 -0.00009 -0.0          0  LossChiral    NoChange   1.00643  99.00000               1               1    0
1014408  1956.975041  26092  45   86 -0.00858 -0.0        26.0 -0.02130 -0.0          0  LossChiral    NoChange   1.01824  99.00000               1               1    0
1014409  1956.975041  26092  45   87  0.02590  0.0        26.0 -0.00249 -0.0          0  LossChiral    NoChange   1.00655  99.00000               1               1    0
1014410  1956.975041  26092  46   84 -0.00965 -0.0        26.0 -0.01942 -0.0          0  LossChiral    NoChange   1.00206  99.00000               1               1    0
1014411  1956.975041  26092  46   85 -0.01516 -0.0        26.0 -0.01339 -0.0          0  LossChiral    NoChange   0.99147  99.00000               1               1    0
1014412  1956.975041  26092  46   86 -0.10164 -0.0        26.0 -0.03345 -0.0          0  LossChiral    NoChange   1.00368  99.00000               1               1    0
1014413  1956.975041  26092  47   82  0.02848  0.0        26.0  0.02289  0.0          0  LossChiral    NoChange   1.04487  99.00000               1               1    0
1014414  1956.975041  26092  47   83  0.01670  0.0        26.0  0.00042  0.0          0  LossChiral    NoChange   1.04109  99.00000               1               1    0
1014415  1956.975041  26092  47   84 -0.09466 -0.0        26.0 -0.01732 -0.0          0  LossChiral    NoChange   1.05252  99.00000               1               1    0
1014416  1956.975041  26092  47   85 -0.10383 -0.0        26.0 -0.01114 -0.0          0  LossChiral    NoChange   1.04186  99.00000               1               1    0
1014417  1956.975041  26092  48   82 -0.09764 -0.0        26.0  0.01715  0.0          0  LossChiral    NoChange   1.02668  99.00000               1               1    0
1014418  1956.975041  26092  48   83 -0.11042 -0.0        26.0 -0.00818 -0.0          0  LossChiral    NoChange   1.02335  99.00000               1               1    0
1014419  1956.975041  26092  48   84 -0.22191 -0.0        26.0 -0.02597 -0.0          0  LossChiral    NoChange   1.03504  99.00000               1               1    0
1014420  1956.975041  26092  48   85 -0.23229 -0.0        26.0 -0.02135 -0.0          0  LossChiral    NoChange   1.02509  99.00000               1               1    0
1014421  1956.975041  26092  49   82 -0.09417 -0.0        26.0  0.02064  0.0          0  LossChiral    NoChange   0.99185  99.00000               1               1    0
1014422  1956.975041  26092  49   83 -0.11088 -0.0        26.0 -0.00398 -0.0          0  LossChiral    NoChange   0.98859  99.00000               1               1    0
1014423  1956.975041  26092  50   78 -0.20831 -0.0        26.0  0.19225  0.0          0  LossChiral    NoChange   0.97426  99.00000               1               1    0
1014424  1956.975041  26092  50   82 -0.20487 -0.0        26.0  0.01408  0.0          0  LossChiral    NoChange   1.01153  99.00000               1               1    0
1014425  1956.975041  26092  52   78 -0.20704 -0.0        26.0  0.17334  0.0          0  LossChiral    NoChange   1.00937  99.00000               1               1    0
1014426  1956.975041  26092  54   74 -0.18391 -0.0        26.0  0.17325  0.0          0  LossChiral    NoChange   1.06361  99.00000               1               1    0
tag: P0A790_4CRZ_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P0A790_4CRZ_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P0A790_t29_f-575_Q0.956.pdb -p 1

####################################################################################################
LOSS P0A790 38
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P0A790_4CRZ_A/Q/P0A790_4CRZ_A_t38.Q
(2600,) 1806 0.9223300970873788 794 0.9223300970873788
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/Quenching/P0A790_4CRZ_A_t38_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A790_4CRZ_A/setup/P0A790_4CRZ_A_rebuilt_clean_ca.psf
Frame -794 successfully saved to ./highQ_Misfoled_Candidates/P0A790_t38_f-794_Q0.922.pdb.
frame: 25873
frame_EntInfo:
            Time(ns)  Frame   i    j       gn   Gn crossingsN       gc   Gc  crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
1012781  1940.550041  25873   6   36  0.00000  0.0          0 -0.16182 -0.0        69.0    NoChange  LossChiral  99.00000   1.09752               1               1    1
1012782  1940.550041  25873   7   35  0.00000  0.0          0 -0.21706 -0.0        69.0    NoChange  LossChiral  99.00000   1.15983               1               1    1
1012783  1940.550041  25873   7   36  0.00000  0.0          0 -0.20240 -0.0        69.0    NoChange  LossChiral  99.00000   1.14600               1               1    1
1012784  1940.550041  25873   8   35  0.00000  0.0          0 -0.15911 -0.0        69.0    NoChange  LossChiral  99.00000   1.09372               1               1    1
1012785  1940.550041  25873   9   35  0.00000  0.0          0 -0.04147 -0.0        69.0    NoChange  LossChiral  99.00000   1.05768               1               1    1
1012786  1940.550041  25873  34  103  0.34567  0.0        +26 -0.05853 -0.0         0.0  LossChiral    NoChange   0.68288  99.00000               1               1    0
1012787  1940.550041  25873  34  105  0.33605  0.0        +26 -0.09211 -0.0         0.0  LossChiral    NoChange   0.66340  99.00000               1               1    0
1012788  1940.550041  25873  34  116  0.28349  0.0        +27  0.00000  0.0         0.0  LossChiral    NoChange   0.69011  99.00000               1               1    0
1012789  1940.550041  25873  35  103  0.38231  0.0        +26 -0.01347 -0.0         0.0  LossChiral    NoChange   0.66345  99.00000               1               1    0
1012790  1940.550041  25873  35  104  0.32858  0.0        +26 -0.11729 -0.0         0.0  LossChiral    NoChange   0.65323  99.00000               1               1    0
1012791  1940.550041  25873  35  105  0.36510  0.0        +26 -0.04168 -0.0         0.0  LossChiral    NoChange   0.64271  99.00000               1               1    0
1012792  1940.550041  25873  36  103  0.27277  0.0        +26 -0.03642 -0.0         0.0  LossChiral    NoChange   0.67458  99.00000               1               1    0
1012793  1940.550041  25873  43   86 -0.08003 -0.0        +26 -0.01350 -0.0         0.0  LossChiral    NoChange   1.04489  99.00000               1               1    0
1012794  1940.550041  25873  43   87 -0.06746 -0.0        +26  0.00381  0.0         0.0  LossChiral    NoChange   1.06565  99.00000               1               1    0
1012795  1940.550041  25873  43   88  0.01984  0.0        +26  0.04373  0.0         0.0  LossChiral    NoChange   0.91811  99.00000               1               1    0
1012796  1940.550041  25873  43   89  0.01057  0.0        +26  0.03450  0.0         0.0  LossChiral    NoChange   0.90418  99.00000               1               1    0
1012797  1940.550041  25873  44   86 -0.07643 -0.0        +26 -0.03184 -0.0         0.0  LossChiral    NoChange   1.03369  99.00000               1               1    0
1012798  1940.550041  25873  44   87 -0.06833 -0.0        +26 -0.01562 -0.0         0.0  LossChiral    NoChange   1.05470  99.00000               1               1    0
1012799  1940.550041  25873  44   88  0.01456  0.0        +26  0.02566  0.0         0.0  LossChiral    NoChange   0.90612  99.00000               1               1    0
1012800  1940.550041  25873  45   84  0.03746  0.0        +26 -0.01288 -0.0         0.0  LossChiral    NoChange   1.06112  99.00000               1               1    0
1012801  1940.550041  25873  45   85  0.03205  0.0        +26 -0.01152 -0.0         0.0  LossChiral    NoChange   1.05161  99.00000               1               1    0
1012802  1940.550041  25873  45   86 -0.02657 -0.0        +26 -0.02417 -0.0         0.0  LossChiral    NoChange   1.03623  99.00000               1               1    0
1012803  1940.550041  25873  45   87 -0.02425 -0.0        +26 -0.00735 -0.0         0.0  LossChiral    NoChange   1.05670  99.00000               1               1    0
1012804  1940.550041  25873  46   84 -0.06798 -0.0        +26 -0.02221 -0.0         0.0  LossChiral    NoChange   1.06039  99.00000               1               1    0
1012805  1940.550041  25873  46   85 -0.07438 -0.0        +26 -0.02002 -0.0         0.0  LossChiral    NoChange   1.05069  99.00000               1               1    0
1012806  1940.550041  25873  46   86 -0.13385 -0.0        +26 -0.03366 -0.0         0.0  LossChiral    NoChange   1.03589  99.00000               1               1    0
1012807  1940.550041  25873  47   82  0.01933  0.0        +26  0.02263  0.0         0.0  LossChiral    NoChange   1.05402  99.00000               1               1    0
1012808  1940.550041  25873  47   83  0.01192  0.0        +26 -0.00038 -0.0         0.0  LossChiral    NoChange   1.04587  99.00000               1               1    0
1012809  1940.550041  25873  47   84 -0.08732 -0.0        +26 -0.01433 -0.0         0.0  LossChiral    NoChange   1.04518  99.00000               1               1    0
1012810  1940.550041  25873  47   85 -0.09789 -0.0        +26 -0.01218 -0.0         0.0  LossChiral    NoChange   1.03592  99.00000               1               1    0
1012811  1940.550041  25873  48   82 -0.11946 -0.0        +26  0.02024  0.0         0.0  LossChiral    NoChange   1.04850  99.00000               1               1    0
1012812  1940.550041  25873  48   83 -0.12695 -0.0        +26 -0.00189 -0.0         0.0  LossChiral    NoChange   1.03988  99.00000               1               1    0
1012813  1940.550041  25873  48   84 -0.22593 -0.0        +26 -0.01723 -0.0         0.0  LossChiral    NoChange   1.03906  99.00000               1               1    0
1012814  1940.550041  25873  48   85 -0.23586 -0.0        +26 -0.01457 -0.0         0.0  LossChiral    NoChange   1.02866  99.00000               1               1    0
1012815  1940.550041  25873  49   82 -0.12602 -0.0        +26  0.02536  0.0         0.0  LossChiral    NoChange   1.02370  99.00000               1               1    0
1012816  1940.550041  25873  49   83 -0.13753 -0.0        +26  0.00318  0.0         0.0  LossChiral    NoChange   1.01524  99.00000               1               1    0
1012817  1940.550041  25873  49   84 -0.23613 -0.0        +26 -0.01177 -0.0         0.0  LossChiral    NoChange   1.01310  99.00000               1               1    0
1012818  1940.550041  25873  50   82 -0.23577 -0.0        +26  0.01891  0.0         0.0  LossChiral    NoChange   1.04243  99.00000               1               1    0
tag: P0A790_4CRZ_A
python src/data/backmap.py --aa_pdb ../Rebuild_AllAtom_structures/data/post_rebuilt/P0A790_4CRZ_A_rebuilt.pdb --cg_pdb ./highQ_Misfoled_Candidates/P0A790_t38_f-794_Q0.922.pdb -p 1

####################################################################################################
LOSS P0A6I0 46
Qfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Trajectory_Analysis/P0A6I0_1KDO_A/Q/P0A6I0_1KDO_A_t46.Q
(2600,) 1244 0.9411764705882352 1356 0.9411764705882352
dcdfile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A6I0_1KDO_A/Quenching/P0A6I0_1KDO_A_t46_quench.dcd
psffile: ../../../../git_slugs/Failure-to-Form_Native_Entanglements_slug/Simulations_of_Native_Entanglement_Misfolding/Temp_Quench_Dynamics/P0A6I0_1KDO_A/setup/P0A6I0_1KDO_A_rebuilt_clean_ca.psf
Frame -1356 successfully saved to ./highQ_Misfoled_Candidates/P0A6I0_t46_f-1356_Q0.941.pdb.
frame: 25311
frame_EntInfo:
          Time(ns)  Frame   i    j       gn   Gn  crossingsN       gc   Gc  crossingsC NchangeType CchangeType  delta_gn  delta_gc  len_crossingsN  len_crossingsC  cID
385115  1898.40004  25311  53  102  0.11491  0.0         -42  0.27864  0.0         0.0  LossChiral    NoChange   0.89432      99.0               1               1    0
385116  1898.40004  25311  56  107  0.11369  0.0         -41  0.15286  0.0         0.0  LossChiral    NoChange   0.93286      99.0               1               1    0
385117  1898.40004  25311  59  102  0.22093  0.0         -40  0.24721  0.0         0.0  LossChiral    NoChange   0.95106      99.0               1               1    0
385118  1898.40004  25311  59  108  0.11182  0.0         -40  0.14225  0.0         0.0  LossChiral    NoChange   0.93847      99.0               1               1    0
385119  1898.40004  25311  60  107  0.14949  0.0         -40  0.14208  0.0         0.0  LossChiral    NoChange   0.93230      99.0               1               1    0
385120  1898.40004  25311  60  108  0.14771  0.0         -40  0.14083  0.0         0.0  LossChiral    NoChange   0.93415      99.0               1               1    0
385121  1898.40004  25311  60  111  0.09381  0.0         -40  0.07939  0.0         0.0  LossChiral    NoChange   0.93197      99.0               1               1    0
385122  1898.40004  25311  63  108  0.16692  0.0         -40  0.12467  0.0         0.0  LossChiral    NoChange   0.91788      99.0               1               1    0
